ID,Av. Speed (mm/s),Mob. Av. Speed (mm/s),Av. Accel (mm/s^2),Mobility Rate (%),Visible Frames,Visible Time (m:s),Invisible Frames,Invisible Time (m:s),First Visible Frame,Last Visible Frame,Visibility Rate (%),Invisibility Rate (%),Explored Areas,Number of Areas,Exploration Rate (%),Total Distance (mm),Transitions In,Transitions Out,Frozen Events,Tot. Time Frozen (m:s),Avg. Time Frozen (m:s),Time in Center (m:s),Time near cue (m:s)
LP1C01,3.82,19.59,3.39,17.94%,8945,19:52.6,55,00:07.3,46576,55575,99.39%,0.61%,18,24,75.00%,4888.2,0,0,19,16:39.7,00:52.6,00:53.2,14:45.7
LP1D01,8.87,19.87,7.2,43.30%,8956,19:54.1,44,00:05.9,46351,55350,99.51%,0.49%,21,24,87.50%,11135.8,0,0,29,11:23.5,00:23.6,01:01.2,10:54.4
LP2D01,16.9,31.25,17.85,53.39%,8969,19:55.8,32,00:04.3,45976,54976,99.64%,0.36%,21,24,87.50%,21349.4,0,0,28,10:39.7,00:22.8,00:03.9,01:42.8
LP3C01,9.5,31.85,10.22,28.52%,8935,19:51.3,65,00:08.7,46801,55800,99.28%,0.72%,22,28,78.57%,12371.6,0,0,44,13:08.0,00:17.9,00:05.3,09:30.4
LP3D01,41.21,43.12,42.6,95.53%,9000,20:00.0,0,00:00.0,46576,55575,100.00%,0.00%,24,24,100.00%,50623.9,0,0,4,00:36.8,00:09.2,00:39.2,09:36.8
LP4C01,43.34,46.18,43.77,93.77%,8975,19:56.6,25,00:03.3,46314,55313,99.72%,0.28%,23,24,95.83%,53302.6,0,0,9,00:49.7,00:05.5,00:10.7,05:12.1
LP4D01,13.99,29.08,18.73,47.44%,8972,19:56.2,29,00:03.9,45826,54826,99.68%,0.32%,24,24,100.00%,17765.8,0,0,26,10:40.1,00:24.6,00:09.7,16:58.9
LP5C01,3.32,14.85,3.87,20.82%,9000,20:00.0,0,00:00.0,47026,56025,100.00%,0.00%,21,24,87.50%,4400.8,0,0,18,15:50.3,00:52.8,02:33.9,12:23.1
LP5D01,20.57,30.35,20.62,67.39%,9000,20:00.0,0,00:00.0,46688,55687,100.00%,0.00%,23,24,95.83%,25524.8,0,0,22,06:21.5,00:17.3,02:11.5,13:07.6
LP6C01,28.02,47.13,30.9,59.18%,9000,20:00.0,0,00:00.0,46426,55425,100.00%,0.00%,19,24,79.17%,34397.2,0,0,22,07:46.9,00:21.2,00:02.5,06:07.1
LP6D01,21.52,33.64,21.51,63.58%,9001,20:00.1,0,00:00.0,46126,55126,100.00%,0.00%,20,28,71.43%,26872.2,0,0,30,07:22.1,00:14.7,00:01.7,08:47.2
LP7C01,42.34,51.92,46.02,81.24%,8917,19:48.9,83,00:11.1,47063,56062,99.08%,0.92%,24,24,100.00%,51969.7,0,0,13,03:30.0,00:16.2,00:27.7,14:52.7
LP7D01,2.15,9.05,2.38,20.53%,9000,20:00.0,0,00:00.0,46801,55800,100.00%,0.00%,22,28,78.57%,3020.9,0,0,52,15:39.6,00:18.1,03:38.1,01:20.8
LP8C01,34.9,41.68,31.61,83.58%,9000,20:00.0,0,00:00.0,46539,55538,100.00%,0.00%,24,24,100.00%,43080.5,0,0,14,02:48.1,00:12.0,00:38.5,04:25.7
LP8D01,12.24,27.92,12.92,43.17%,9001,20:00.1,0,00:00.0,34313,43313,100.00%,0.00%,20,24,83.33%,15308.5,0,0,47,11:42.1,00:14.9,01:15.9,00:28.0
LP9C01,30.3,36.39,34.19,83.05%,9000,20:00.0,0,00:00.0,46576,55575,100.00%,0.00%,28,28,100.00%,37454.9,0,0,12,03:37.5,00:18.1,00:50.5,15:37.1
LP9D01,3.37,13.61,3.1,22.91%,9000,20:00.0,0,00:00.0,46276,55275,100.00%,0.00%,22,24,91.67%,4454.2,0,0,40,14:32.1,00:21.8,01:36.7,13:23.3
LP10C01,45.58,50.76,44.27,89.73%,9000,20:00.0,0,00:00.0,45976,54975,100.00%,0.00%,24,24,100.00%,55812.9,0,0,8,01:37.5,00:12.2,00:47.6,07:56.8
LP10D01,20.23,38.23,22.93,52.55%,9000,20:00.0,0,00:00.0,45714,54713,100.00%,0.00%,20,24,83.33%,25030.9,0,0,19,09:09.3,00:28.9,01:33.9,16:20.0
LP11C01,25.21,33.94,23.1,73.94%,8955,19:54.0,45,00:06.0,45676,54675,99.50%,0.50%,24,24,100.00%,30967.6,0,0,17,04:53.7,00:17.3,01:35.3,05:05.9
LP12C01,10.04,33.22,8.35,29.61%,9000,20:00.0,0,00:00.0,45373,54372,100.00%,0.00%,23,24,95.83%,12582.1,0,0,30,13:25.1,00:26.8,00:16.8,09:54.6
LP12D01,20.54,42.31,23.88,48.13%,9000,20:00.0,0,00:00.0,45189,54188,100.00%,0.00%,24,24,100.00%,25807.8,0,0,34,09:48.5,00:17.3,01:12.4,10:37.4
