ID,Av. Speed (mm/s),Mob. Av. Speed (mm/s),Av. Accel (mm/s^2),Mobility Rate (%),Visible Frames,Visible Time (m:s),Invisible Frames,Invisible Time (m:s),First Visible Frame,Last Visible Frame,Visibility Rate (%),Invisibility Rate (%),Explored Areas,Number of Areas,Exploration Rate (%),Total Distance (mm),Transitions In,Transitions Out,Frozen Events,Tot. Time Frozen (m:s),Avg. Time Frozen (m:s),Time in Center (m:s),Time near object (m:s)
LP1C01,14.56,23.95,16.5,60.02%,8972,19:56.2,29,00:03.9,22200,31200,99.68%,0.32%,19,24,79.17%,18047.9,0,0,35,09:32.7,00:16.4,00:15.2,07:02.7
LP1D01,9.51,19.09,10.14,45.65%,8056,17:54.1,944,02:05.9,21675,30674,89.51%,10.49%,19,24,79.17%,11944.1,0,0,36,10:48.4,00:18.0,00:09.2,10:46.0
LP2D01,17.94,29.57,21.33,57.14%,8364,18:35.2,636,01:24.8,21151,30150,92.93%,7.07%,21,24,87.50%,22618.5,0,0,44,09:21.3,00:12.8,00:01.7,07:55.1
LP3C01,10.31,37.64,13.54,26.75%,9001,20:00.1,0,00:00.0,22500,31500,100.00%,0.00%,23,28,82.14%,13335.3,0,0,42,14:00.5,00:20.0,00:02.8,03:33.3
LP3D01,37.42,47.21,37.94,79.12%,9000,20:00.0,0,00:00.0,22200,31199,100.00%,0.00%,17,24,70.83%,46038.2,0,0,13,03:53.1,00:17.9,00:02.4,06:58.5
LP4C01,45.11,48.91,49.45,92.11%,8972,19:56.2,28,00:03.7,21901,30900,99.69%,0.31%,23,24,95.83%,55522.8,0,0,15,01:29.6,00:06.0,00:09.3,06:30.4
LP4D01,32.21,58.58,44.31,54.72%,9000,20:00.0,0,00:00.0,21526,30525,100.00%,0.00%,22,24,91.67%,40005.6,0,0,30,09:00.3,00:18.0,00:03.6,06:12.8
LP5C01,23.3,38.35,27.58,60.38%,9001,20:00.1,0,00:00.0,22725,31725,100.00%,0.00%,20,24,83.33%,29145,0,0,28,07:45.3,00:16.6,00:46.5,11:15.1
LP5D01,1.94,8.05,2.06,20.93%,8973,19:56.4,27,00:03.6,22388,31387,99.70%,0.30%,11,24,45.83%,2734.4,0,0,38,15:22.8,00:24.3,01:41.6,18:05.5
LP6C01,12.86,32.84,14.63,38.63%,9000,20:00.0,0,00:00.0,22051,31050,100.00%,0.00%,23,24,95.83%,16020.4,0,0,30,12:24.2,00:24.8,00:10.3,08:02.1
LP6D01,4,14.11,5.09,27.08%,9000,20:00.0,0,00:00.0,21751,30750,100.00%,0.00%,15,24,62.50%,5149.2,0,0,30,15:01.7,00:30.1,01:27.1,12:05.4
LP7C01,51.01,69.39,56.7,73.36%,9001,20:00.1,0,00:00.0,22275,31275,100.00%,0.00%,14,28,50.00%,62872.2,0,0,25,05:06.5,00:12.3,00:02.5,11:36.5
LP7D01,1.37,5.29,1.52,21.06%,9000,20:00.0,0,00:00.0,22013,31012,100.00%,0.00%,16,28,57.14%,1973.6,0,0,23,16:19.1,00:42.6,00:31.3,12:03.6
LP8C01,38.52,43.13,35.25,89.21%,9000,20:00.0,0,00:00.0,21713,30712,100.00%,0.00%,21,24,87.50%,47418.7,0,0,14,01:36.7,00:06.9,00:05.9,05:05.7
LP8D01,1.09,7.99,1.04,11.29%,9000,20:00.0,0,00:00.0,21713,30712,100.00%,0.00%,13,24,54.17%,1498.5,0,0,22,18:04.8,00:49.3,12:47.8,03:30.1
LP9C01,15.11,51.55,19.36,28.86%,9000,20:00.0,0,00:00.0,21375,30374,100.00%,0.00%,20,28,71.43%,18697.1,0,0,27,14:55.9,00:33.2,00:00.4,16:56.4
LP9D01,2.63,11.01,2.17,21.35%,9000,20:00.0,0,00:00.0,21075,30074,100.00%,0.00%,16,24,66.67%,3585.4,0,0,24,16:11.7,00:40.5,09:52.8,12:34.4
LP10C01,10.27,27.1,9.93,37.15%,9000,20:00.0,0,00:00.0,20776,29775,100.00%,0.00%,24,24,100.00%,12907.4,0,0,17,12:25.7,00:43.9,00:13.7,13:41.0
LP10D01,2.64,23.09,2.23,10.30%,8975,19:56.6,25,00:03.3,20513,29512,99.72%,0.28%,21,24,87.50%,3458.5,0,0,18,18:09.6,01:00.5,00:13.6,04:27.7
LP11C01,16.75,38.96,18.34,42.64%,9000,20:00.0,0,00:00.0,20926,29925,100.00%,0.00%,17,24,70.83%,20602,0,0,22,11:38.1,00:31.7,00:00.5,14:51.6
LP12C01,5.81,30.2,5.93,18.45%,9000,20:00.0,0,00:00.0,20624,29623,100.00%,0.00%,21,24,87.50%,7369.5,0,0,35,16:25.9,00:28.2,00:08.4,11:34.7
LP12D01,15.67,34.75,23.44,44.51%,9000,20:00.0,0,00:00.0,20438,29437,100.00%,0.00%,19,24,79.17%,20004.4,0,0,33,10:39.3,00:19.4,00:12.3,18:20.2
