ID,Av. Speed (mm/s),Mob. Av. Speed (mm/s),Av. Accel (mm/s^2),Mobility Rate (%),Visible Frames,Visible Time (m:s),Invisible Frames,Invisible Time (m:s),First Visible Frame,Last Visible Frame,Visibility Rate (%),Invisibility Rate (%),Explored Areas,Number of Areas,Exploration Rate (%),Total Distance (mm),Transitions In,Transitions Out,Frozen Events,Tot. Time Frozen (m:s),Avg. Time Frozen (m:s),Time in Center (m:s),Time near object (m:s)
LP1C01,3.33,9.82,3.5,33.51%,8423,18:43.0,577,01:16.9,34801,43800,93.59%,6.41%,18,24,75.00%,4218.4,0,0,29,14:42.3,00:30.4,00:03.5,14:15.6
LP1D01,9.65,24.11,10.69,38.93%,8942,19:52.2,58,00:07.7,34238,43237,99.36%,0.64%,19,24,79.17%,12303.9,0,0,38,12:18.9,00:19.4,00:00.7,17:11.5
LP2D01,15.9,28.22,19.89,55.56%,8968,19:55.7,32,00:04.3,33676,42675,99.64%,0.36%,15,24,62.50%,20468.4,0,0,44,10:17.4,00:14.0,0:00,05:21.9
LP3C01,8.31,33.56,11.03,24.07%,9000,20:00.0,0,00:00.0,35101,44100,100.00%,0.00%,15,28,53.57%,10941,0,0,31,14:59.3,00:29.0,00:01.1,03:16.7
LP3D01,32.91,43.01,33.64,76.38%,9000,20:00.0,0,00:00.0,34801,43800,100.00%,0.00%,23,24,95.83%,40462.7,0,0,15,04:05.3,00:16.4,00:06.7,10:26.0
LP4C01,35.59,45.16,39.82,78.61%,9000,20:00.0,0,00:00.0,34501,43500,100.00%,0.00%,18,24,75.00%,44042.3,0,0,15,04:11.9,00:16.8,00:00.8,08:10.3
LP4D01,22.3,53.03,26.89,41.25%,8923,19:49.7,77,00:10.3,34126,43125,99.14%,0.86%,22,24,91.67%,27879,0,0,36,11:38.0,00:19.4,00:02.7,14:29.7
LP5C01,1.58,9.37,1.68,14.10%,9000,20:00.0,0,00:00.0,35326,44325,100.00%,0.00%,10,24,41.67%,2257.3,0,0,17,17:24.6,01:01.4,00:59.1,17:52.8
LP5D01,4.08,12.71,4.23,28.98%,8839,19:38.5,161,00:21.5,34988,43987,98.21%,1.79%,21,24,87.50%,5412,0,0,41,12:26.3,00:18.2,01:48.1,11:00.4
LP6C01,23.09,41.02,24.64,55.91%,9000,20:00.0,0,00:00.0,34651,43650,100.00%,0.00%,21,24,87.50%,28385.2,0,0,26,09:09.2,00:21.1,00:02.4,07:06.4
LP6D01,5.12,13.78,7.09,35.59%,9000,20:00.0,0,00:00.0,34351,43350,100.00%,0.00%,14,24,58.33%,6795.4,0,0,48,12:50.4,00:16.0,01:49.6,10:45.6
LP7C01,60.66,71.2,63.22,85.10%,9000,20:00.0,0,00:00.0,34876,43875,100.00%,0.00%,14,28,50.00%,74112.5,0,0,13,02:31.6,00:11.7,00:01.5,10:01.7
LP7D01,1.42,6.29,1.81,17.71%,9000,20:00.0,0,00:00.0,34613,43612,100.00%,0.00%,8,28,28.57%,2203.5,0,0,57,15:22.5,00:16.2,00:27.5,00:00.0
LP8C01,40.23,44.75,36.27,89.82%,9001,20:00.1,0,00:00.0,34313,43313,100.00%,0.00%,18,24,75.00%,49572.3,0,0,11,01:24.9,00:07.7,00:01.2,01:26.3
LP8D01,12.14,27.54,12.88,43.38%,9001,20:00.1,0,00:00.0,34313,43313,100.00%,0.00%,20,24,83.33%,15208.2,0,0,50,11:39.8,00:14.0,01:21.3,00:26.8
LP9C01,21.64,52.03,26.06,41.24%,9000,20:00.0,0,00:00.0,34876,43875,100.00%,0.00%,27,28,96.43%,26863.4,0,0,21,12:00.0,00:34.3,00:05.2,17:29.3
LP9D01,7.78,26.54,7.45,28.53%,9001,20:00.1,0,00:00.0,34575,43575,100.00%,0.00%,21,24,87.50%,9800.3,0,0,22,14:09.5,00:38.6,00:31.9,11:51.1
LP10C01,45.36,53.3,42.73,84.98%,9000,20:00.0,0,00:00.0,34276,43275,100.00%,0.00%,16,24,66.67%,55423.8,0,0,10,02:49.9,00:17.0,00:00.0,09:35.2
LP10D01,9.4,33.94,9.72,27.05%,9001,20:00.1,0,00:00.0,34013,43013,100.00%,0.00%,21,24,87.50%,11758,0,0,26,15:08.8,00:35.0,00:09.1,06:05.2
LP11C01,30.48,41.1,32.53,73.88%,8974,19:56.5,26,00:03.5,33526,42525,99.71%,0.29%,21,24,87.50%,37438.2,0,0,14,05:12.9,00:22.4,00:08.5,07:53.9
LP12C01,4.2,23.04,4.12,17.11%,8999,19:59.9,0,00:00.0,33224,42222,100.00%,0.00%,23,24,95.83%,5449.6,0,0,41,16:25.5,00:24.0,00:06.0,08:41.5
LP12D01,15.83,38.96,23.19,40.11%,9001,20:00.1,0,00:00.0,33038,42038,100.00%,0.00%,21,24,87.50%,20267.5,0,0,43,11:54.5,00:16.6,00:32.5,16:18.8
